video_id,description,username,music_id,final_classification
7507639403863493895,#ตามจังหวะ #CapCut #حماس #💚 #🫶#🫀#🥹 #🇵🇸 #💪#✌🏻#اكسبلور #explore #wheneverwherever #فلسطين #جنين #مخيم_جنين #طوباس #غزة #طولكرم #رام_الله #خليل #القدس #بيت_لحم #عكا #حيفا #يافا #صفد #طبريا #الناصره #بيسان #بئر_السبع #اريحا #قلقيلية #الله_معنا #ان_شاءالله_رح_ننتصر_على_العدو #يارب_العالمين ,_.a.y.a_2007_,7488868757042252586,Hamas
7397687062725577991,"@جنين ✌️✌️✌️
#الاجهزة_الامنية_الفلسطينية #قوات_الامن_الوطني_الفلسطيني #فتح #الكتيبة_الخاصة #الاجهزة_الامنية_الفلسطينية #عاشت_فلسطين #جنين #عاشت_فلسطين ",ashat_palestine,7397687085852887809,Fatah
7494396382539828496,,leen56430,7494396487880330001,Fatah
7456842983854378258,#الاردن_فلسطين_العراق_سوريا #غزة #مصطفى_المومري #CapCut ,mahmoudeyad04,7456843519521540880,Hamas
7305810125099371778,#CapCut #القوات_الخاصة #الاجهزة_الامنية_الفلسطينية #جيش ,j.halabi98,7277557829622385414,Fatah
7317572414563437825,"#فتح 💛
العاصفة🥷🏻💛",ola.odeh7,7317572495094844162,Fatah
7437930955714661639,سطرنا حكايه عزه..💚#نابلس_رامالله_جنين_اريحا_الخليل_بيت_لحم #فلسطين #حماس,privat._.palestine,7437932266598304529,Hamas
7494619686508776711,#حماس #💚 #جنين #حلحول #الشعب_الصيني_ماله_حل😂😂 ,adamkarajuh3,7475059928307223313,Hamas
6960832758792883461,سمع سمع كل الناس  يا حماس انتي الاساس ✌🏻#فلسطين #palestine #freepalestine #jerusalem #لن_نرحل #القدس #plm #انقذوا_حي_الشيخ_جراح  #savesheikhjarrah,jameela_baluch,6960832593126345477,Hamas
7496536924727840007,#فتحاويه💛👌🇵🇸 ,yazanhawamdeh7,7496536944848833281,Fatah
7478717312246254855,#العاصفة_الفتحاوية #فتح #فتحاوي #فلسطين ,aleasifa.fateh,7478717402226641681,Fatah
7268027088400026881,"احنا بنات الياسر ودلال المغربية
#CapCut 
#فتحوي_وافتخر🇵🇸✌🏾 
#الياسريه💕🔥 
#شعب_الصيني_ماله_حل😂😂 
#الحمدلله_دائماً_وابداً 
#اللهم_صلي_على_نبينا_محمد💓🕋📿 
#ترندات_تيك_توك_2022_اكسبلور_💜 
#نابلسية #تيك_توك 
#اكسبلورexplore 
#fypシ #fyp #viral #اكسبلور #foryou ",hayam.t.alghou,7128482699102587649,Fatah
7507866189377326343,"🖤✨
#قوات_الامن_الوطني_الفلسطيني #عين_منجد_رام_الله♥️🥰 #بيت_ريما #رام_الله #viralvideo ",mo__amouri,7447960226147814166,Fatah
7478324847924481298,#نابلس_رامالله_جنين_اريحا_الخليل_بيت_لحم #viral #fouryou #world #love #جنين_نابلس_طولكرم_رام_الله_فلسطين #foryou #lovehim ,ts._m,7464266417760652049,Hamas
7472822116795157778,"💚✋🏽
#فلسطين #البلاد #طولكرم #حماس ",hala_.43,7472822151410764560,Hamas
7506945422087277831,كل الاحترام والتقدير للقائد العام الرئيس محمود عباس أبو مازن #الضفةالغربية_رام_الله_الخليل_نابلس_القدس #المخابرات #فتح #فتحاوي #السلطة_الفلسطينية #الاجهزة_الامنية_الفلسطينية #الضفةالغربية_رام_الله_الخليل_نابلس #غزة #لبنان ,mohamed_elegla,7506945451535371025,Fatah
7102453877202488577,عاشت فتح✌💛  #حكايات #فلسطين #حانت_الغارة #حركةفتح #الشبيبة_الفتحاوية #مصر_السعوديه_العراق_فلسطين #الوطن_العربي #اكسبلورexplore #فتح,moamen._.mohammed,7101356895146920706,Fatah
7496811935925570824,الله يديم عز أخضرنا 💚. #نابلسية❤ #نابلس_جبل_النار #🖤 #🤎 ,_.nabulsia._1,7496811959464053520,Hamas
7478777485027544328,#بيت_امر_الشامخه🦅💛 #فتحاوي💛#صوريف_الخليل_فلسطين #نور_شمس_طواكرم_فلسطين❤⚘ #ابو_عمار💛 #فتح💛🦅 ,user78681947152360,7418305174327937797,Fatah
7452377404279885074,"في إطار تعزيز الروح الإنسانية والتضامن مع الأطفال المرضى وتهدف الزيارة إلى تقديم الدعم المعنوي للأطفال ورفع
روحهم المعنوية خلال فترة علاجهم، بالإضافة إلى تقديم بعض الهدايا الرمزية التي تساهم في إدخال البسمة إلى وجوههم💛.
#CapCut #فتح #اسرانا_الابطال_لا_بد_للقيد_ان_ينكسر ",ayaat_927,7071639492289268481,Fatah
7501996075406904594,#فلسطين🇵🇸 #تعليم #الأجهزه_الأمنية #طولكرم #palestine🇵🇸 ,ashat_palestine,7301250140919089153,Fatah
7440958299144506632,"⛔️ حركة فتح إقليم سلفيت وبالشراكة مع الهيئات المحلية وأهالي الخير  تقوم بتسليم منزل بعد بنائه للمواطن ""فوزي نافز  علي احمد"" بعد تعرضه للهدم من قوات الاحتلال العام المنصرم.

#راديو_الزيتونة 
#بوابة_سلفيت ",radio.alzaytona,7440958376294632193,Fatah
7454999044515958024,أحنا بنات الياسر ودلال المغربي وألف تحية لكل واحد فتحاوي أصيل فتح التوب 💛💛💛,hanymiqdad,7101409652050578177,Fatah
7471597114263375124,,awsshrayed72,7471597161306999553,Hamas
7183323949219073281,#غزة #حركت_فتح #الكتيبة #فتح_العاصفة✌️💛🇵🇸 ,gggu677,7149607041554778882,Fatah
7496051824298888456,##القائد #الله_يرحمه #ابوعمار ,ashat_palestine,7496051858289494800,Fatah
7495838312641449223,#فتحاويه💛👌🇵🇸 #وقائي_✔💛شرطه💛أمن_وطني_مخابرات_مباحث #فتحاويه💛👌🇵🇸_وافتخر_بنت_فتح✌️💛 #جنينيه❤💫 #فلسطين #💛 #ترند #أكسبلورر #أكسبلورر #foryou #fypシ゚ #foryoupage #explore #explore #fyp #fyp #foryoupage #fyp #foryoupage #explore #fypシ゚ #foryou #explore ,ashwaq95_0,7206234388370049793,Fatah
7502781208854613256,,mohamad.shanter,7502781235770968849,Hamas
7507562923988897031,#العاصفة_الفتحاوية #فتحاوي #فتح #فلسطين #شبيبة_فتحاوية #حسين_الشيخ ,aleasifa.fateh,7455658276178872321,Fatah
7504807427913633044,,user28370307110582,7504807539586910977,Fatah
7508791423496441096,#الاخضر💚 ,user77420740273537,7423852919713270529,Hamas
7506957249001049352,فتح#حماس #viralvideo #CapCut #explorepage #fypツ الراية الترفيهات,ameer9913,7423852919713270529,Hamas
7295080535523740935,جنين💚🇵🇸#مخيم_جنين #جنين_فلسطين #فلسطين🇵🇸 #حماس #جنين_نابلس_طولكرم_رام_الله_فلسطين #غزة_العزة🇵🇸 ,m.n._06,7295080558613236482,Hamas
7490762307740421394,,ahed5190,7453870156499061527,Hamas
7505531372757454110,#ramallah_palestine♥️ #فتحاويه💛👌🇵🇸 ,tmaraa40,7286640809368095489,Hamas
7507155949061246226,"نابلس جبل النار
#نابلس #فلسطين #الاجهزة_الامنية_الفلسطينية #الشرطة #تحياتي_لجميع_المشاهدين_والمتابعين #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا #القدس #عرب #fyp #tiktok #viral #اكسبلور @🪬🦁🎭🧿أسد نابلس🧿🎭🦁🪬 @👑🦅ثابت منصور🦅👑أبو وديع🦅👑 @Wisdom King ",tahbet.police,7469829788581677846,Fatah
7504601184288787730,سيلاوي خط احمر 🔥💚 #سيلاوية_الخط_الاحمر #سيلة_الظهر #الحارة_قديمه #حي_ام_بدر #حماس #CapCut #الفندقوميه_سيلة_الظهر_جنين #مخيم_جنين #جنين_نابلس_طولكرم_رام_الله_فلسطين #جنين_نابلس_طولكرم_رام_الله_فلسطين #جنين_شامخه🦅🔱 #مخيم_جنين_اسم_لن_يكرره_التاريخ💪 ,abutheeb511,7504601208309680897,Hamas
7496617563967720711,#شوارع_دوله_الخليل #شعب_الصيني_ماله_حل😂😂 #لايك_متابعه_حركة_الاكسبلور❤🦋explorer ,abdullah_jaber22,7450922780062944001,Fatah
7336566827683695879,فتحاوي💛#CapCut #palestine #gaza #تفوح #fouryou #foryourpage #f #viral #فتح #ابو_اسنينة #الخليل #القدس #foryou #ياسر_عرفات ,iliasirzeqat777,7336566858748070657,Fatah
7477947141986553105,,seleen9379,7463411403211213584,Hamas
7506138343390924040,#دوار_ابن_رشد #دوار_ابن_رشد💚🌸 #يسعدلي__اوقاتڪۘم #💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚 #💚💚💚💚 #💚💚 #🎶🎵 #🎶🎵🎼🎤🎧🎸🎶🎵😍 #🎵🎶🎧💕💕💕💕💕 #🎵🎶 #مجرد________ذووووووق🎶🎵💞،☹ #الحارة_التحتا #الخليل_بيت_لحم_رام_الله_نابلس_جنين #ترند_تيك_توك_مشاهير #هاشتاقات_تيك_توك_العرب #جامعة_الخليل #الشعب_الصيني_ماله_حل #fyppppppppppppppppppppppp #hebron #fypage #capcuttitiktok #fypシ゚ #فوريو_foryou #fyppppppppppppppppppppppp #fyp #fyp #viralvideo #hebron🇵🇸_الخليل #مالي_خلق_احط_هاشتاقات🧢 #وصلوني_150الف #وصوني_200_لايك #الدعم_في_ذمه_الله #الحارة_التحتا_دولة_مستقلة #مساء_الحب_والسعاده ,nour885884,7488868757042252586,Hamas
7451375848470383879,#فتحاويه💛👌🇵🇸 #الاردن🇯🇴_فلسطين_🇵🇸 #الاردن🇯🇴_فلسطين_🇵🇸 #الاردن_فلسطين_العراق_سوريا #سوريا_فلسطين_العراق #فلسطين ,we.ramallah,7451375960101767952,Fatah
7436022459477871888,#สปีดสโลว์ #สโลว์สมูท #CapCut #1111 #ابو_عمار #فتحاوي #فتح #ياسر_عرفات #توجيهي_2025 #توجيهي #,osama.ewidat,7368544139180051205,Fatah
7499856757599112449,#CapCut #ตามจังหวะ ##🇵🇸قصرة #جنين_نابلس_طولكرم_رام_الله_فلسطين #🇵🇸🖇️نابلس #حماس #2025 ,nasat97,7491649292831066897,Hamas
7098315905117015298,#بيرزيت #جامعه_بيرزيت #فتح #فلسطين🇵🇸 #فتحاوي #فتحاوي😉_ياااا_خااااال🇵🇸🇵🇸✌️✌️💛,eyad_abu_hassan,7098315889690331905,Fatah
7263356939109731602,#الفتح #دربي #فلسطين #تصميم_فيديوهات🎶🎤🎬 #foryoupage #foryou #fyp #حركة_فتح #اناشيد_الثورة_الفلسطينية #غزة #رام_الله #نايلس_رام_الله_جنين_طولكرم #القدس ,moh_ayesh,7263356958252616450,Fatah
7464934174781197575,"💚💚💚
..
.
.
.
.
.
.
.
#CapCut #اكسبلورexplore #فولو #foryou
#الخليل 
#fby #tiktok #حماس #الظاهرية #دورا #الخلي ",pt.sedra_rbaa,7450616713709701905,Hamas
7499778233865456914,#صلاه_على_النبي_اللهم_صل_وسلم_عليه #الخضراء💚 ,khaleed_waleed09,7430423695724268320,Hamas
